Theta,Phi,RCS(dBsm)
45.0,-45.0,-4.3568703596644305
45.0,-44.0,-7.927640815857993
45.0,-43.0,-6.0650694945009365
45.0,-42.0,-7.564350407216023
45.0,-41.0,-8.708417897899661
45.0,-40.0,-8.70623915363636
45.0,-39.0,-14.839764060418654
45.0,-38.0,-13.00298337026803
45.0,-37.0,-48.334784093603204
45.0,-36.0,-21.827324077914465
45.0,-35.0,-15.469741250242816
45.0,-34.0,-17.895297847845576
45.0,-33.0,-11.154871992959825
45.0,-32.0,-13.790993574758437
45.0,-31.0,-10.497047780905168
45.0,-30.0,-11.36973517746111
45.0,-29.0,-12.749682017827446
45.0,-28.0,-12.326519947569341
45.0,-27.0,-20.385442959298693
45.0,-26.0,-15.545344638933829
45.0,-25.0,-23.624668785521532
45.0,-24.0,-22.181372727284412
45.0,-23.0,-22.697250207749413
45.0,-22.0,-13.621848582695211
45.0,-21.0,-14.45046874626633
45.0,-20.0,-13.3433551036237
45.0,-19.0,-12.001679147672208
45.0,-18.0,-19.371559449613457
45.0,-17.0,-21.595648580282827
45.0,-16.0,-25.108742841194143
45.0,-15.0,-18.225492364534805
45.0,-14.0,-12.031756762187758
45.0,-13.0,-13.821785331117088
45.0,-12.0,-18.556431958643685
45.0,-11.0,-16.237003107855312
45.0,-10.0,-21.44908346688849
45.0,-9.0,-22.157517424426707
45.0,-8.0,-15.440941603380518
45.0,-7.0,-15.14271993613374
45.0,-6.0,-15.268864756250608
45.0,-5.0,-18.41663883384269
45.0,-4.0,-25.79292412351561
45.0,-3.0,-17.64271224017502
45.0,-2.0,-20.042698409450047
45.0,-1.0,-22.189490440464567
45.0,0.0,-17.456975560922135
45.0,1.0,-22.18949044046451
45.0,2.0,-20.0426984094495
45.0,3.0,-17.642712240171573
45.0,4.0,-25.79292412351348
45.0,5.0,-18.416638833847387
45.0,6.0,-15.268864756252045
45.0,7.0,-15.142719936133936
45.0,8.0,-15.440941603378796
45.0,9.0,-22.157517424423375
45.0,10.0,-21.44908346689382
45.0,11.0,-16.237003107857827
45.0,12.0,-18.556431958660255
45.0,13.0,-13.821785331121871
45.0,14.0,-12.031756762186522
45.0,15.0,-18.225492364532563
45.0,16.0,-25.108742841181968
45.0,17.0,-21.595648580270733
45.0,18.0,-19.371559449623366
45.0,19.0,-12.001679147669574
45.0,20.0,-13.34335510361836
45.0,21.0,-14.450468746268314
45.0,22.0,-13.621848582694016
45.0,23.0,-22.697250207744567
45.0,24.0,-22.181372727278696
45.0,25.0,-23.624668785542795
45.0,26.0,-15.545344638944368
45.0,27.0,-20.38544295931288
45.0,28.0,-12.326519947567366
45.0,29.0,-12.749682017821566
45.0,30.0,-11.36973517746511
45.0,31.0,-10.497047780908213
45.0,32.0,-13.790993574757582
45.0,33.0,-11.154871992955727
45.0,34.0,-17.895297847843775
45.0,35.0,-15.469741250238783
45.0,36.0,-21.82732407791937
45.0,37.0,-48.334784093980545
45.0,38.0,-13.002983370273714
45.0,39.0,-14.839764060420046
45.0,40.0,-8.706239153639109
45.0,41.0,-8.708417897895975
45.0,42.0,-7.564350407218124
45.0,43.0,-6.065069494502944
45.0,44.0,-7.927640815854557
45.0,45.0,-4.35687035966526
46.0,-45.0,-8.074378686274738
46.0,-44.0,-4.791188314046432
46.0,-43.0,-7.783984691927066
46.0,-42.0,-6.435337138330458
46.0,-41.0,-6.914192738527323
46.0,-40.0,-8.658472123834763
46.0,-39.0,-7.908330828543786
46.0,-38.0,-13.878452542162849
46.0,-37.0,-11.28632327624345
46.0,-36.0,-25.742830502672792
46.0,-35.0,-19.205322253869483
46.0,-34.0,-17.66743099637774
46.0,-33.0,-21.86382098983075
46.0,-32.0,-12.434113003209221
46.0,-31.0,-15.443766752865681
46.0,-30.0,-10.554328002862652
46.0,-29.0,-12.041571538682788
46.0,-28.0,-12.935792657325871
46.0,-27.0,-12.48868154658589
46.0,-26.0,-18.23550496689359
46.0,-25.0,-15.035113355379012
46.0,-24.0,-24.570525496861162
46.0,-23.0,-22.132768805194196
46.0,-22.0,-26.681235558296187
46.0,-21.0,-13.864678596902246
46.0,-20.0,-13.702527934695114
46.0,-19.0,-14.319640080879717
46.0,-18.0,-13.046985046583014
46.0,-17.0,-18.299955929828574
46.0,-16.0,-24.798661695722526
