Theta,Phi,RCS(dBsm)
45.0,-45.0,-5.2164570726544355
45.0,-44.0,-5.002779756041905
45.0,-43.0,-6.152097039569268
45.0,-42.0,-7.039668317215782
45.0,-41.0,-8.220076981766468
45.0,-40.0,-10.011137571247017
45.0,-39.0,-10.925325127198233
45.0,-38.0,-14.911169301693192
45.0,-37.0,-18.528830800887
45.0,-36.0,-37.2528632902399
45.0,-35.0,-26.679766376642622
45.0,-34.0,-16.64580077050071
45.0,-33.0,-14.10982076138734
45.0,-32.0,-10.652752910782635
45.0,-31.0,-10.600593471509542
45.0,-30.0,-9.992760025101775
45.0,-29.0,-11.049183285005977
45.0,-28.0,-11.39435250135243
45.0,-27.0,-14.10167682098998
45.0,-26.0,-21.080157747380625
45.0,-25.0,-36.54544616477119
45.0,-24.0,-21.318113615513646
45.0,-23.0,-17.29704543920193
45.0,-22.0,-13.318676682129084
45.0,-21.0,-11.88798928886274
45.0,-20.0,-13.999870763292178
45.0,-19.0,-15.666668071754717
45.0,-18.0,-18.032791196164183
45.0,-17.0,-29.353809623817583
45.0,-16.0,-22.95624763210169
45.0,-15.0,-17.915141080897428
45.0,-14.0,-16.182967088134664
45.0,-13.0,-15.354732759443772
45.0,-12.0,-15.935634434684083
45.0,-11.0,-19.949209583149667
45.0,-10.0,-32.931960074584886
45.0,-9.0,-25.910252727516088
45.0,-8.0,-21.977275164232783
45.0,-7.0,-17.220175374142443
45.0,-6.0,-15.259106819209025
45.0,-5.0,-17.63121718141888
45.0,-4.0,-25.456642001418608
45.0,-3.0,-27.121610225858518
45.0,-2.0,-24.669059646271343
45.0,-1.0,-18.532317169631977
45.0,0.0,-16.18782115525023
45.0,1.0,-18.532317169622218
45.0,2.0,-24.6690596462723
45.0,3.0,-27.121610225880538
45.0,4.0,-25.456642001424484
45.0,5.0,-17.63121718141867
45.0,6.0,-15.259106819199452
45.0,7.0,-17.22017537411709
45.0,8.0,-21.977275164179897
45.0,9.0,-25.910252727419522
45.0,10.0,-32.93196007458234
45.0,11.0,-19.949209583193298
45.0,12.0,-15.935634434689927
45.0,13.0,-15.354732759423069
45.0,14.0,-16.182967088113696
45.0,15.0,-17.915141080890855
45.0,16.0,-22.956247632075822
45.0,17.0,-29.353809623893508
45.0,18.0,-18.03279119617679
45.0,19.0,-15.666668071752397
45.0,20.0,-13.999870763293885
45.0,21.0,-11.88798928886518
45.0,22.0,-13.318676682125766
45.0,23.0,-17.297045439188206
45.0,24.0,-21.318113615510292
45.0,25.0,-36.54544616471996
45.0,26.0,-21.080157747433844
45.0,27.0,-14.101676821003718
45.0,28.0,-11.394352501336481
45.0,29.0,-11.049183284991422
45.0,30.0,-9.992760025096501
45.0,31.0,-10.600593471501549
45.0,32.0,-10.652752910781295
45.0,33.0,-14.109820761404649
45.0,34.0,-16.64580077052661
45.0,35.0,-26.67976637657025
45.0,36.0,-37.252863289788195
45.0,37.0,-18.528830800819744
45.0,38.0,-14.911169301695235
45.0,39.0,-10.92532512722467
45.0,40.0,-10.01113757126946
45.0,41.0,-8.220076981778009
45.0,42.0,-7.039668317217922
45.0,43.0,-6.152097039568876
45.0,44.0,-5.002779756046475
45.0,45.0,-5.2164570726543555
46.0,-45.0,-4.597647072742345
46.0,-44.0,-5.347543845358493
46.0,-43.0,-5.140203448287462
46.0,-42.0,-6.028699191003568
46.0,-41.0,-6.987151999287736
46.0,-40.0,-7.630822504071977
46.0,-39.0,-9.230350879742712
46.0,-38.0,-9.859360541925627
46.0,-37.0,-13.44023499661927
46.0,-36.0,-16.097522720566136
46.0,-35.0,-26.42250379456985
46.0,-34.0,-37.88984194254316
46.0,-33.0,-19.536740114445262
46.0,-32.0,-15.465958826440891
46.0,-31.0,-11.693168754493959
46.0,-30.0,-11.635275121034791
46.0,-29.0,-10.39508903212749
46.0,-28.0,-10.961278996176745
46.0,-27.0,-11.208201013963501
46.0,-26.0,-14.408871873409213
46.0,-25.0,-20.01915313840851
46.0,-24.0,-28.11848963255088
46.0,-23.0,-23.688201242371996
46.0,-22.0,-17.267766701092746
46.0,-21.0,-13.57297025883139
46.0,-20.0,-12.869111016329335
46.0,-19.0,-14.78685444017108
46.0,-18.0,-15.164404630200707
46.0,-17.0,-18.10045677916155
46.0,-16.0,-31.351688250485864
46.0,-15.0,-21.571061467921115
46.0,-14.0,-19.732174194437036
46.0,-13.0,-16.627200383723682
46.0,-12.0,-14.41701424371436
46.0,-11.0,-16.334670477447094
46.0,-10.0,-25.088279350800647
46.0,-9.0,-35.27912564309141
46.0,-8.0,-29.713531337005893
46.0,-7.0,-19.851703219059157
46.0,-6.0,-15.841180857811679
46.0,-5.0,-16.95079775320066
46.0,-4.0,-23.24445744032461
46.0,-3.0,-32.90272943478152
46.0,-2.0,-26.548167465654657
46.0,-1.0,-18.03564623260102
46.0,0.0,-15.594402264800465
46.0,1.0,-18.035646232588725
46.0,2.0,-26.548167465622804
46.0,3.0,-32.902729434812
46.0,4.0,-23.244457440353198
46.0,5.0,-16.9507977532187
46.0,6.0,-15.84118085782248
46.0,7.0,-19.851703219055047
46.0,8.0,-29.713531336857567
46.0,9.0,-35.27912564289266
46.0,10.0,-25.08827935082937
