Theta,Phi,RCS(dBsm)
45.0,-45.0,-5.545180483145743
45.0,-44.0,-5.1825901204814
45.0,-43.0,-6.29726215099925
45.0,-42.0,-7.214033017243572
45.0,-41.0,-8.070467412914224
45.0,-40.0,-9.904709305845579
45.0,-39.0,-10.331946251396317
45.0,-38.0,-14.317162854670052
45.0,-37.0,-16.758816154502735
45.0,-36.0,-32.94660164719534
45.0,-35.0,-42.80746103717731
45.0,-34.0,-18.74449543371619
45.0,-33.0,-15.850555029603788
45.0,-32.0,-11.418294824668804
45.0,-31.0,-11.47087030475598
45.0,-30.0,-10.27013087127278
45.0,-29.0,-11.151704476965012
45.0,-28.0,-10.917081095431042
45.0,-27.0,-13.300837848924129
45.0,-26.0,-18.624775239553813
45.0,-25.0,-25.516237116019127
45.0,-24.0,-25.602515422046803
45.0,-23.0,-19.670109756778828
45.0,-22.0,-14.13641579316052
45.0,-21.0,-12.20261086945666
45.0,-20.0,-14.080524410669055
45.0,-19.0,-14.618303775598529
45.0,-18.0,-16.064089835732126
45.0,-17.0,-24.43964668879667
45.0,-16.0,-27.462163816304678
45.0,-15.0,-20.240203333301537
45.0,-14.0,-17.036810005399165
45.0,-13.0,-15.034992609029942
45.0,-12.0,-15.137287514597112
45.0,-11.0,-18.579332205777707
45.0,-10.0,-28.9101194318351
45.0,-9.0,-34.90251383473256
45.0,-8.0,-23.965861774810246
45.0,-7.0,-16.970790253463306
45.0,-6.0,-14.712361682521893
45.0,-5.0,-16.8636464421689
45.0,-4.0,-24.814370127424823
45.0,-3.0,-34.47167935408087
45.0,-2.0,-26.269523102850926
45.0,-1.0,-18.25777243035141
45.0,0.0,-15.852930270674374
45.0,1.0,-18.25777243035196
45.0,2.0,-26.26952310285336
45.0,3.0,-34.4716793540875
45.0,4.0,-24.814370127438558
45.0,5.0,-16.863646442173486
45.0,6.0,-14.71236168252554
45.0,7.0,-16.97079025347095
45.0,8.0,-23.965861774836196
45.0,9.0,-34.90251383474441
45.0,10.0,-28.910119431871287
45.0,11.0,-18.579332205783427
45.0,12.0,-15.137287514597176
45.0,13.0,-15.034992609032416
45.0,14.0,-17.036810005406817
45.0,15.0,-20.24020333329905
45.0,16.0,-27.46216381626693
45.0,17.0,-24.43964668881657
45.0,18.0,-16.064089835737143
45.0,19.0,-14.61830377560224
45.0,20.0,-14.080524410667651
45.0,21.0,-12.202610869455157
45.0,22.0,-14.136415793163344
45.0,23.0,-19.67010975677387
45.0,24.0,-25.602515422015358
45.0,25.0,-25.516237116027515
45.0,26.0,-18.62477523955136
45.0,27.0,-13.300837848928332
45.0,28.0,-10.91708109543232
45.0,29.0,-11.15170447696613
45.0,30.0,-10.270130871274741
45.0,31.0,-11.470870304756405
45.0,32.0,-11.418294824666093
45.0,33.0,-15.850555029600667
45.0,34.0,-18.744495433712654
45.0,35.0,-42.807461036839086
45.0,36.0,-32.946601647266746
45.0,37.0,-16.75881615449585
45.0,38.0,-14.317162854671865
45.0,39.0,-10.331946251400694
45.0,40.0,-9.90470930584851
45.0,41.0,-8.070467412911666
45.0,42.0,-7.214033017245278
45.0,43.0,-6.297262151002245
45.0,44.0,-5.182590120478995
45.0,45.0,-5.545180483145787
46.0,-45.0,-4.884880877562466
46.0,-44.0,-5.72159347061135
46.0,-43.0,-5.410514292352704
46.0,-42.0,-6.232124224302773
46.0,-41.0,-7.2477929546916595
46.0,-40.0,-7.556549682956433
46.0,-39.0,-9.216677882405438
46.0,-38.0,-9.466707399469799
46.0,-37.0,-13.02753061181648
46.0,-36.0,-14.819511942193648
46.0,-35.0,-22.38681830873716
46.0,-34.0,-27.486320900319118
46.0,-33.0,-22.618002579421663
46.0,-32.0,-17.570445313824745
46.0,-31.0,-12.697516668558391
46.0,-30.0,-12.695477099162652
46.0,-29.0,-10.712849532516678
46.0,-28.0,-11.121554158390603
46.0,-27.0,-10.873884510298964
46.0,-26.0,-13.700684285667869
46.0,-25.0,-17.662067023713163
46.0,-24.0,-22.14769658269455
46.0,-23.0,-29.580341062764177
46.0,-22.0,-19.5097741755567
46.0,-21.0,-14.562089711863866
46.0,-20.0,-13.26909146291339
46.0,-19.0,-14.63869151769983
46.0,-18.0,-14.136768183152842
46.0,-17.0,-16.312591189361505
46.0,-16.0,-28.39247384496497
46.0,-15.0,-25.411962552758467
46.0,-14.0,-22.512603480671963
46.0,-13.0,-16.919647797173035
46.0,-12.0,-14.017308863386473
46.0,-11.0,-15.618267025951738
46.0,-10.0,-22.913373380760454
46.0,-9.0,-33.676771810858575
46.0,-8.0,-39.435400136525125
46.0,-7.0,-20.253971884928802
46.0,-6.0,-15.789572428936044
46.0,-5.0,-16.55581707246823
46.0,-4.0,-21.271167317006714
46.0,-3.0,-25.598921450883182
46.0,-2.0,-24.589009395674758
46.0,-1.0,-17.892685443802495
46.0,0.0,-15.555446432608829
46.0,1.0,-17.89268544380446
46.0,2.0,-24.589009395679305
46.0,3.0,-25.598921450879182
46.0,4.0,-21.271167317009493
46.0,5.0,-16.55581707246791
46.0,6.0,-15.789572428931146
46.0,7.0,-20.25397188491597
46.0,8.0,-39.43540013644222
46.0,9.0,-33.676771810837394
46.0,10.0,-22.9133733807718
46.0,11.0,-15.618267025962611
46.0,12.0,-14.017308863396075
46.0,13.0,-16.91964779718156
46.0,14.0,-22.51260348066761
46.0,15.0,-25.411962552736863
46.0,16.0,-28.392473845005803
46.0,17.0,-16.31259118937188
46.0,18.0,-14.136768183155775
46.0,19.0,-14.638691517699057
46.0,20.0,-13.269091462916151
46.0,21.0,-14.562089711861965
46.0,22.0,-19.509774175538123
46.0,23.0,-29.580341062750076
46.0,24.0,-22.147696582691665
46.0,25.0,-17.662067023720056
46.0,26.0,-13.700684285670013
46.0,27.0,-10.873884510300552
46.0,28.0,-11.121554158392364
46.0,29.0,-10.712849532513182
46.0,30.0,-12.695477099161485
46.0,31.0,-12.697516668558855
46.0,32.0,-17.570445313818006
46.0,33.0,-22.618002579396187
46.0,34.0,-27.48632090034244
46.0,35.0,-22.386818308743916
46.0,36.0,-14.819511942199664
46.0,37.0,-13.027530611812992
46.0,38.0,-9.466707399465298
46.0,39.0,-9.216677882406419
46.0,40.0,-7.556549682957884
46.0,41.0,-7.247792954691173
46.0,42.0,-6.2321242243020905
46.0,43.0,-5.410514292355572
46.0,44.0,-5.721593470611931
46.0,45.0,-4.884880877561577
47.0,-45.0,-6.181065290274409
47.0,-44.0,-5.369829108171052
47.0,-43.0,-6.005858866270447
47.0,-42.0,-5.818768677288917
47.0,-41.0,-6.336463969670463
47.0,-40.0,-7.393690019190639
47.0,-39.0,-7.252164724603196
47.0,-38.0,-8.780775069363232
47.0,-37.0,-9.038374373119423
47.0,-36.0,-12.146764671046164
47.0,-35.0,-13.438333976568993
47.0,-34.0,-18.09657126480786
47.0,-33.0,-22.004216793219985
47.0,-32.0,-27.71030522077591
47.0,-31.0,-19.83221497526939
47.0,-30.0,-14.417780984443118
47.0,-29.0,-13.82783389044516
47.0,-28.0,-10.95950476706088
47.0,-27.0,-11.28323912434489
47.0,-26.0,-11.273729908583515
47.0,-25.0,-14.033275784322083
47.0,-24.0,-16.374429313950202
47.0,-23.0,-20.68242201889924
47.0,-22.0,-28.60319762693283
47.0,-21.0,-19.513231526505304
47.0,-20.0,-15.869095461024827
47.0,-19.0,-14.002032984844613
47.0,-18.0,-14.159429150402405
47.0,-17.0,-14.501334554285792
47.0,-16.0,-18.203888411664273
47.0,-15.0,-35.02923375506078
47.0,-14.0,-27.921274784891708
47.0,-13.0,-21.6161618683238
47.0,-12.0,-15.799323891212802
47.0,-11.0,-14.743786712728129
47.0,-10.0,-17.97678492357068
47.0,-9.0,-23.94546933856882
47.0,-8.0,-31.765720391777922
47.0,-7.0,-23.855621432720255
47.0,-6.0,-18.202295345068052
47.0,-5.0,-18.524104245658183
47.0,-4.0,-20.772756456654854
47.0,-3.0,-20.257551370098845
47.0,-2.0,-21.996107542281173
47.0,-1.0,-20.150244433581154
47.0,0.0,-17.808351435306335
47.0,1.0,-20.150244433580315
47.0,2.0,-21.996107542277244
47.0,3.0,-20.257551370093783
47.0,4.0,-20.77275645665786
47.0,5.0,-18.524104245666518
47.0,6.0,-18.202295345073107
47.0,7.0,-23.85562143272516
47.0,8.0,-31.765720391832364
47.0,9.0,-23.9454693385912
47.0,10.0,-17.97678492358117
47.0,11.0,-14.743786712732298
47.0,12.0,-15.79932389121516
47.0,13.0,-21.616161868335062
47.0,14.0,-27.92127478490822
47.0,15.0,-35.02923375510715
47.0,16.0,-18.203888411676388
47.0,17.0,-14.501334554293967
47.0,18.0,-14.159429150408902
47.0,19.0,-14.002032984842959
47.0,20.0,-15.869095461015132
47.0,21.0,-19.51323152650503
47.0,22.0,-28.603197626946063
47.0,23.0,-20.682422018920956
47.0,24.0,-16.374429313962473
47.0,25.0,-14.033275784321296
47.0,26.0,-11.273729908584446
47.0,27.0,-11.283239124346558
47.0,28.0,-10.959504767064354
47.0,29.0,-13.827833890443525
47.0,30.0,-14.417780984430157
47.0,31.0,-19.83221497526153
47.0,32.0,-27.71030522075464
47.0,33.0,-22.004216793240488
47.0,34.0,-18.09657126482008
47.0,35.0,-13.438333976573132
47.0,36.0,-12.146764671047379
47.0,37.0,-9.038374373118009
47.0,38.0,-8.780775069358327
47.0,39.0,-7.252164724601378
47.0,40.0,-7.393690019191622
47.0,41.0,-6.336463969670271
47.0,42.0,-5.818768677287949
47.0,43.0,-6.005858866270787
47.0,44.0,-5.369829108172492
47.0,45.0,-6.181065290275704
48.0,-45.0,-6.5519131031330415
48.0,-44.0,-7.035011148326463
48.0,-43.0,-5.96916085788685
48.0,-42.0,-6.382470469123422
48.0,-41.0,-6.37909062739566
48.0,-40.0,-6.570574653387505
48.0,-39.0,-7.585748981053765
48.0,-38.0,-7.128231056819578
48.0,-37.0,-8.573830053263082
48.0,-36.0,-8.921905067915452
48.0,-35.0,-11.433455843285403
48.0,-34.0,-12.367268021339424
48.0,-33.0,-15.750210933559144
48.0,-32.0,-19.773000917110846
48.0,-31.0,-35.90901398804963
48.0,-30.0,-23.458823049991043
48.0,-29.0,-16.43624429373084
48.0,-28.0,-14.495391143160074
48.0,-27.0,-11.217527922116844
48.0,-26.0,-11.871716510631149
48.0,-25.0,-11.79069885160896
48.0,-24.0,-13.774750904861943
48.0,-23.0,-15.684759256289095
48.0,-22.0,-21.115127661948062
48.0,-21.0,-27.352693801444154
48.0,-20.0,-20.860217582641866
48.0,-19.0,-17.001205448842885
48.0,-18.0,-13.598430063964358
48.0,-17.0,-14.058278817237591
48.0,-16.0,-16.291223609521
48.0,-15.0,-19.710613025391737
48.0,-14.0,-29.376921516728643
48.0,-13.0,-25.83233125312692
48.0,-12.0,-18.48193582564969
48.0,-11.0,-16.680749026008858
48.0,-10.0,-17.22703057756789
48.0,-9.0,-18.04077979692697
48.0,-8.0,-21.114476176993726
48.0,-7.0,-24.502998532217845
48.0,-6.0,-19.271889134249662
48.0,-5.0,-19.439566834901033
48.0,-4.0,-21.3449855314262
48.0,-3.0,-19.4972069746318
48.0,-2.0,-21.605600930588768
48.0,-1.0,-24.25527278657761
48.0,0.0,-21.62034999431594
48.0,1.0,-24.255272786578338
48.0,2.0,-21.605600930590235
48.0,3.0,-19.497206974629734
48.0,4.0,-21.3449855314264
48.0,5.0,-19.439566834908092
48.0,6.0,-19.271889134256284
48.0,7.0,-24.5029985322301
48.0,8.0,-21.11447617699674
48.0,9.0,-18.040779796930888
48.0,10.0,-17.22703057757751
48.0,11.0,-16.680749026015267
48.0,12.0,-18.481935825645497
48.0,13.0,-25.832331253098726
48.0,14.0,-29.37692151674545
48.0,15.0,-19.710613025393684
48.0,16.0,-16.291223609522678
48.0,17.0,-14.058278817238854
48.0,18.0,-13.598430063965289
48.0,19.0,-17.00120544884558
48.0,20.0,-20.86021758263035
48.0,21.0,-27.352693801397272
48.0,22.0,-21.115127661951163
48.0,23.0,-15.684759256281621
48.0,24.0,-13.774750904866886
48.0,25.0,-11.790698851616014
48.0,26.0,-11.871716510631387
48.0,27.0,-11.217527922116803
48.0,28.0,-14.49539114316119
48.0,29.0,-16.436244293735076
48.0,30.0,-23.45882304997415
48.0,31.0,-35.90901398790838
48.0,32.0,-19.773000917117653
48.0,33.0,-15.750210933567413
48.0,34.0,-12.36726802134179
48.0,35.0,-11.433455843286499
48.0,36.0,-8.921905067917212
48.0,37.0,-8.573830053262789
48.0,38.0,-7.128231056816649
48.0,39.0,-7.585748981052086
48.0,40.0,-6.570574653388307
48.0,41.0,-6.379090627395742
48.0,42.0,-6.382470469122143
48.0,43.0,-5.969160857885746
48.0,44.0,-7.0350111483275946
48.0,45.0,-6.551913103134577
49.0,-45.0,-8.028453043836265
49.0,-44.0,-7.473749420851358
49.0,-43.0,-7.920761570593722
49.0,-42.0,-6.66088704195799
49.0,-41.0,-6.850935823109868
49.0,-40.0,-7.069747275589764
49.0,-39.0,-6.893597731933156
49.0,-38.0,-7.778036727979353
49.0,-37.0,-7.179001540583903
49.0,-36.0,-8.580579492646526
49.0,-35.0,-8.990494864872844
49.0,-34.0,-10.772476284159291
49.0,-33.0,-11.587770008899694
49.0,-32.0,-14.499674277417373
49.0,-31.0,-18.73264321242403
49.0,-30.0,-30.21630492477445
49.0,-29.0,-29.76962524935984
49.0,-28.0,-18.132831873910536
49.0,-27.0,-14.875172541459477
49.0,-26.0,-11.82302138324442
49.0,-25.0,-12.745697063098449
49.0,-24.0,-11.895400330591917
49.0,-23.0,-13.334936631295554
49.0,-22.0,-16.141218197574755
49.0,-21.0,-22.531492619870697
49.0,-20.0,-29.123653085467364
49.0,-19.0,-22.8529625806261
49.0,-18.0,-16.55960505399981
49.0,-17.0,-13.348570792347871
49.0,-16.0,-15.13793577953776
49.0,-15.0,-17.811747112195704
49.0,-14.0,-18.92636963717775
49.0,-13.0,-26.721070092632498
49.0,-12.0,-20.814662182482028
49.0,-11.0,-17.838485002977546
49.0,-10.0,-19.005529007872948
49.0,-9.0,-17.40818083991235
49.0,-8.0,-17.38598300464211
49.0,-7.0,-22.690550637323238
49.0,-6.0,-23.244204776160274
49.0,-5.0,-20.852760574546785
49.0,-4.0,-19.525299753432652
49.0,-3.0,-17.52384730222746
49.0,-2.0,-19.548544846098423
49.0,-1.0,-24.773356663876264
49.0,0.0,-23.67810470217879
49.0,1.0,-24.773356663884975
49.0,2.0,-19.548544846098718
49.0,3.0,-17.523847302225086
49.0,4.0,-19.525299753434652
49.0,5.0,-20.852760574559067
49.0,6.0,-23.244204776174765
49.0,7.0,-22.690550637334752
49.0,8.0,-17.38598300464669
49.0,9.0,-17.40818083991642
49.0,10.0,-19.005529007881986
49.0,11.0,-17.838485002983933
49.0,12.0,-20.8146621824842
49.0,13.0,-26.72107009268536
49.0,14.0,-18.92636963720136
49.0,15.0,-17.81174711221292
49.0,16.0,-15.137935779541827
49.0,17.0,-13.34857079234651
49.0,18.0,-16.559605053993756
49.0,19.0,-22.85296258061871
49.0,20.0,-29.123653085458624
49.0,21.0,-22.53149261988414
49.0,22.0,-16.141218197583118
49.0,23.0,-13.334936631294873
49.0,24.0,-11.895400330587398
49.0,25.0,-12.74569706309958
49.0,26.0,-11.823021383247283
49.0,27.0,-14.875172541460042
49.0,28.0,-18.132831873910188
49.0,29.0,-29.769625249347932
49.0,30.0,-30.216304924747917
49.0,31.0,-18.73264321243829
49.0,32.0,-14.499674277427488
49.0,33.0,-11.587770008901256
49.0,34.0,-10.77247628416247
49.0,35.0,-8.990494864869694
49.0,36.0,-8.580579492645612
49.0,37.0,-7.1790015405847765
49.0,38.0,-7.778036727979016
49.0,39.0,-6.893597731932185
49.0,40.0,-7.069747275591873
49.0,41.0,-6.850935823110048
49.0,42.0,-6.660887041957112
49.0,43.0,-7.920761570591873
49.0,44.0,-7.473749420851536
49.0,45.0,-8.028453043837487
50.0,-45.0,-10.48486483608471
50.0,-44.0,-9.4816467033548
50.0,-43.0,-8.462534254793255
50.0,-42.0,-8.771458615023384
50.0,-41.0,-7.440936324373628
50.0,-40.0,-7.435045713428381
50.0,-39.0,-7.850111080601594
50.0,-38.0,-7.248670386069199
50.0,-37.0,-7.974722243415768
50.0,-36.0,-7.426249645328511
50.0,-35.0,-8.756478985636688
50.0,-34.0,-9.088621397033492
50.0,-33.0,-10.185906367655043
50.0,-32.0,-11.171881183134358
50.0,-31.0,-13.919747927845982
50.0,-30.0,-17.815730372165113
50.0,-29.0,-24.100028359019866
50.0,-28.0,-36.06197614019544
50.0,-27.0,-19.033672410057548
50.0,-26.0,-15.635958117461495
50.0,-25.0,-12.820375741779277
50.0,-24.0,-13.247713870037732
50.0,-23.0,-11.694962230280703
50.0,-22.0,-13.510559679342666
50.0,-21.0,-17.32983174043998
50.0,-20.0,-21.933550618508534
50.0,-19.0,-36.5196012253006
50.0,-18.0,-21.720614431692415
50.0,-17.0,-16.24502982539571
50.0,-16.0,-14.328865004798592
50.0,-15.0,-16.04959045939561
50.0,-14.0,-17.490409965998353
50.0,-13.0,-20.162276313309825
50.0,-12.0,-29.357524207844378
50.0,-11.0,-20.779375370876423
50.0,-10.0,-19.011162643615616
50.0,-9.0,-17.81893942886397
50.0,-8.0,-17.407531765494912
50.0,-7.0,-21.7356711690842
50.0,-6.0,-36.046799793241625
50.0,-5.0,-29.80808304949619
50.0,-4.0,-20.073262075401146
50.0,-3.0,-16.129142477237572
50.0,-2.0,-17.38079260034534
50.0,-1.0,-24.333081613268448
50.0,0.0,-32.34872503584738
50.0,1.0,-24.333081613264305
50.0,2.0,-17.380792600340584
50.0,3.0,-16.129142477230832
50.0,4.0,-20.073262075388993
