Theta,Phi,RCS(dBsm)
45.0,-45.0,-10.220809418854488
45.0,-44.0,-11.712968325114698
45.0,-43.0,-14.515768417101535
45.0,-42.0,-23.047376207597345
45.0,-41.0,-24.273403046897855
45.0,-40.0,-14.636369110583075
45.0,-39.0,-11.14289983892479
45.0,-38.0,-10.040618991543166
45.0,-37.0,-10.238603138912188
45.0,-36.0,-12.76529210605516
45.0,-35.0,-17.63116129517653
45.0,-34.0,-33.17834070552473
45.0,-33.0,-20.149531118708943
45.0,-32.0,-15.564970536610945
45.0,-31.0,-15.059115416416482
45.0,-30.0,-17.006724914514898
45.0,-29.0,-21.030904461615307
45.0,-28.0,-28.569008856281386
45.0,-27.0,-22.479718882267903
45.0,-26.0,-16.84097097615397
45.0,-25.0,-15.647421553870316
45.0,-24.0,-17.677108367639907
45.0,-23.0,-29.957858250541584
45.0,-22.0,-17.416939608264844
45.0,-21.0,-15.510434379320232
45.0,-20.0,-20.512131233707084
45.0,-19.0,-27.65298225739142
45.0,-18.0,-18.559675294087462
45.0,-17.0,-15.815592111725827
45.0,-16.0,-21.426865053010804
45.0,-15.0,-46.14620813991443
45.0,-14.0,-17.749889277337967
45.0,-13.0,-18.6432626575597
45.0,-12.0,-24.727134483453877
45.0,-11.0,-21.611957075162216
45.0,-10.0,-19.910857451382086
45.0,-9.0,-20.45549191038985
45.0,-8.0,-23.530936776002697
45.0,-7.0,-19.083940098392706
45.0,-6.0,-23.907923831396328
45.0,-5.0,-32.40821741273177
45.0,-4.0,-22.731166975592316
45.0,-3.0,-18.99379814803868
45.0,-2.0,-22.938272694993852
45.0,-1.0,-21.399926741152548
45.0,0.0,-19.026316540473072
45.0,1.0,-21.399926741168894
45.0,2.0,-22.93827269501655
45.0,3.0,-18.99379814805067
45.0,4.0,-22.731166975599674
45.0,5.0,-32.408217412764955
45.0,6.0,-23.90792383139572
45.0,7.0,-19.083940098394564
45.0,8.0,-23.53093677596069
45.0,9.0,-20.455491910366213
45.0,10.0,-19.91085745135228
45.0,11.0,-21.611957075115413
45.0,12.0,-24.727134483426543
45.0,13.0,-18.643262657539125
45.0,14.0,-17.7498892773335
45.0,15.0,-46.14620814024191
45.0,16.0,-21.426865053013067
45.0,17.0,-15.815592111744511
45.0,18.0,-18.559675294082453
45.0,19.0,-27.65298225746653
45.0,20.0,-20.512131233729804
45.0,21.0,-15.510434379314535
45.0,22.0,-17.416939608250793
45.0,23.0,-29.957858250519713
45.0,24.0,-17.67710836764947
45.0,25.0,-15.647421553871864
45.0,26.0,-16.84097097616673
45.0,27.0,-22.479718882259462
45.0,28.0,-28.569008856275957
45.0,29.0,-21.03090446166524
45.0,30.0,-17.006724914530615
45.0,31.0,-15.059115416409432
45.0,32.0,-15.564970536600171
45.0,33.0,-20.149531118711156
45.0,34.0,-33.178340705532754
45.0,35.0,-17.631161295181755
45.0,36.0,-12.76529210607058
45.0,37.0,-10.238603138919377
45.0,38.0,-10.040618991521377
45.0,39.0,-11.142899838919899
45.0,40.0,-14.636369110563196
45.0,41.0,-24.27340304690411
45.0,42.0,-23.047376207609574
45.0,43.0,-14.515768417105647
45.0,44.0,-11.712968325112511
45.0,45.0,-10.220809418858884
46.0,-45.0,-8.019520694131824
46.0,-44.0,-8.734040901058867
46.0,-43.0,-9.571301338307977
46.0,-42.0,-11.778460259917889
46.0,-41.0,-16.886526645336875
46.0,-40.0,-31.1930281084408
46.0,-39.0,-19.411121177281775
46.0,-38.0,-13.862340426047941
46.0,-37.0,-11.30607473184625
46.0,-36.0,-10.827219961484362
46.0,-35.0,-12.111992869380872
46.0,-34.0,-15.546885716490051
46.0,-33.0,-25.827888307207072
46.0,-32.0,-24.09611342711178
46.0,-31.0,-16.739626513750892
46.0,-30.0,-15.57046945151698
46.0,-29.0,-16.11100530698723
46.0,-28.0,-20.547095252950204
46.0,-27.0,-26.41641130457813
46.0,-26.0,-23.721645486118447
46.0,-25.0,-18.781249186181714
46.0,-24.0,-15.350108334038957
46.0,-23.0,-17.746230309682815
46.0,-22.0,-29.683568284580645
46.0,-21.0,-17.285372892056284
46.0,-20.0,-16.648563112699645
46.0,-19.0,-19.308203986592883
46.0,-18.0,-31.583899241571103
46.0,-17.0,-19.398702685044867
46.0,-16.0,-15.703772880264706
46.0,-15.0,-24.292494681047543
46.0,-14.0,-43.52143060091713
46.0,-13.0,-16.37876116766613
46.0,-12.0,-21.60129109243349
46.0,-11.0,-25.623338442844123
46.0,-10.0,-19.15598585835433
46.0,-9.0,-20.451548136212182
46.0,-8.0,-26.67329907513389
46.0,-7.0,-27.13966087482197
46.0,-6.0,-17.38056835641253
46.0,-5.0,-24.310035452057953
46.0,-4.0,-25.620213785118263
46.0,-3.0,-20.77886948877349
46.0,-2.0,-35.668546122801224
46.0,-1.0,-40.297320209509394
46.0,0.0,-21.143727655043676
46.0,1.0,-40.29732020947957
46.0,2.0,-35.668546122939794
46.0,3.0,-20.778869488786277
46.0,4.0,-25.620213785105513
46.0,5.0,-24.31003545205506
46.0,6.0,-17.38056835640208
46.0,7.0,-27.139660874763326
46.0,8.0,-26.673299075137102
46.0,9.0,-20.45154813619004
46.0,10.0,-19.15598585834021
46.0,11.0,-25.623338442846038
46.0,12.0,-21.601291092411437
46.0,13.0,-16.378761167645024
46.0,14.0,-43.5214306014025
46.0,15.0,-24.29249468103751
46.0,16.0,-15.70377288027168
46.0,17.0,-19.398702685047763
46.0,18.0,-31.583899241549858
46.0,19.0,-19.30820398660711
46.0,20.0,-16.648563112736632
46.0,21.0,-17.2853728920266
46.0,22.0,-29.683568284567873
46.0,23.0,-17.746230309697093
46.0,24.0,-15.3501083340273
46.0,25.0,-18.78124918619809
46.0,26.0,-23.721645486132253
46.0,27.0,-26.416411304610797
46.0,28.0,-20.54709525298438
46.0,29.0,-16.111005306985156
46.0,30.0,-15.570469451512155
46.0,31.0,-16.739626513743904
46.0,32.0,-24.096113427100107
46.0,33.0,-25.827888307177286
46.0,34.0,-15.546885716516847
46.0,35.0,-12.111992869391567
46.0,36.0,-10.82721996148348
46.0,37.0,-11.306074731850295
46.0,38.0,-13.86234042602938
46.0,39.0,-19.411121177275763
46.0,40.0,-31.19302810846235
46.0,41.0,-16.88652664532196
46.0,42.0,-11.778460259918976
46.0,43.0,-9.571301338308526
46.0,44.0,-8.73404090106774
46.0,45.0,-8.019520694125516
47.0,-45.0,-7.5553115808680715
47.0,-44.0,-7.777493320183395
47.0,-43.0,-7.941883266020815
47.0,-42.0,-8.54967337885045
47.0,-41.0,-10.60669018897878
47.0,-40.0,-14.096214046845098
47.0,-39.0,-20.88097818642514
47.0,-38.0,-29.930746290256206
47.0,-37.0,-18.28129700545886
47.0,-36.0,-13.512250022355406
47.0,-35.0,-12.143037789095029
47.0,-34.0,-12.0840407074526
47.0,-33.0,-14.81090941895825
47.0,-32.0,-20.725940421206175
47.0,-31.0,-28.385223971427994
47.0,-30.0,-18.995177279071086
47.0,-29.0,-15.673674561336066
47.0,-28.0,-16.326489406267076
47.0,-27.0,-19.009645690023365
47.0,-26.0,-24.81251660392095
47.0,-25.0,-27.962178850696638
47.0,-24.0,-19.436579899348278
47.0,-23.0,-15.955033631757482
47.0,-22.0,-16.81765313001472
47.0,-21.0,-31.717786546288362
47.0,-20.0,-18.5397756261902
47.0,-19.0,-16.46829302114115
47.0,-18.0,-20.406812086553387
47.0,-17.0,-28.15998034111129
47.0,-16.0,-17.51499719253724
47.0,-15.0,-17.899684487794655
47.0,-14.0,-22.060184815693656
47.0,-13.0,-25.956860593246116
47.0,-12.0,-17.662841999487323
47.0,-11.0,-20.458469469128758
47.0,-10.0,-30.81800369797039
47.0,-9.0,-19.67552290232851
47.0,-8.0,-18.744728446467583
47.0,-7.0,-42.25304262822366
47.0,-6.0,-22.991787314615667
47.0,-5.0,-22.765195689666363
47.0,-4.0,-24.81892687809564
47.0,-3.0,-19.217504408417238
47.0,-2.0,-21.64208550727163
47.0,-1.0,-23.798270176586833
47.0,0.0,-18.382982648881313
47.0,1.0,-23.79827017658133
47.0,2.0,-21.642085507288154
47.0,3.0,-19.217504408427143
47.0,4.0,-24.818926878085588
47.0,5.0,-22.765195689672836
47.0,6.0,-22.991787314620268
47.0,7.0,-42.253042628279864
47.0,8.0,-18.744728446474724
47.0,9.0,-19.675522902320303
47.0,10.0,-30.818003697944818
47.0,11.0,-20.45846946913983
47.0,12.0,-17.662841999471837
47.0,13.0,-25.956860593237224
47.0,14.0,-22.060184815709466
47.0,15.0,-17.899684487808102
47.0,16.0,-17.514997192541596
47.0,17.0,-28.159980341033645
47.0,18.0,-20.406812086595036
47.0,19.0,-16.468293021156285
47.0,20.0,-18.539775626164197
47.0,21.0,-31.717786546296015
47.0,22.0,-16.81765313002869
47.0,23.0,-15.95503363176077
47.0,24.0,-19.436579899336305
47.0,25.0,-27.96217885069956
47.0,26.0,-24.81251660392526
47.0,27.0,-19.00964569002554
47.0,28.0,-16.32648940627709
47.0,29.0,-15.67367456132041
47.0,30.0,-18.995177279057017
47.0,31.0,-28.385223971391092
47.0,32.0,-20.72594042120603
47.0,33.0,-14.810909418936575
47.0,34.0,-12.08404070745428
47.0,35.0,-12.14303778909702
47.0,36.0,-13.512250022347686
47.0,37.0,-18.2812970054476
47.0,38.0,-29.93074629030343
47.0,39.0,-20.880978186405418
47.0,40.0,-14.09621404684411
47.0,41.0,-10.60669018897785
47.0,42.0,-8.549673378849745
47.0,43.0,-7.9418832660220176
47.0,44.0,-7.777493320184128
47.0,45.0,-7.555311580871017
48.0,-45.0,-8.154831693692717
48.0,-44.0,-8.337072581639507
48.0,-43.0,-7.867449004261504
48.0,-42.0,-7.649613804332406
48.0,-41.0,-8.307155138741876
