Theta,Phi,RCS(dBsm)
45.0,-45.0,-10.332673138352511
45.0,-44.0,-12.022847977296834
45.0,-43.0,-15.056731223879197
45.0,-42.0,-24.565851587985776
45.0,-41.0,-22.78717669520152
45.0,-40.0,-14.216091074398882
45.0,-39.0,-10.902527523218739
45.0,-38.0,-9.961724685873293
45.0,-37.0,-10.308906178462397
45.0,-36.0,-13.015455004103346
45.0,-35.0,-18.412918416370736
45.0,-34.0,-33.40024622186982
45.0,-33.0,-19.372099088284752
45.0,-32.0,-15.405434035014904
45.0,-31.0,-15.042499155207382
45.0,-30.0,-17.3375772698076
45.0,-29.0,-21.722109833077603
45.0,-28.0,-28.546551754980534
45.0,-27.0,-21.914930173484095
45.0,-26.0,-16.626427603611173
45.0,-25.0,-15.7771619963943
45.0,-24.0,-18.305089354027636
45.0,-23.0,-28.33256672965635
45.0,-22.0,-17.03049665531458
45.0,-21.0,-15.595730075783905
45.0,-20.0,-21.120448842117096
45.0,-19.0,-30.247888078658697
45.0,-18.0,-18.042475506733226
45.0,-17.0,-15.94962420812599
45.0,-16.0,-22.222745030529598
45.0,-15.0,-38.91589028120295
45.0,-14.0,-17.50778896551356
45.0,-13.0,-18.948183373102403
45.0,-12.0,-26.30871663643903
45.0,-11.0,-21.03771046428962
45.0,-10.0,-19.89392363695039
45.0,-9.0,-21.366274765948013
45.0,-8.0,-23.2512298045504
45.0,-7.0,-18.83410319003137
45.0,-6.0,-25.11590233020762
45.0,-5.0,-32.63296475542065
45.0,-4.0,-22.540116244822286
45.0,-3.0,-19.653308897103614
45.0,-2.0,-22.950694854465468
45.0,-1.0,-21.249108976821528
45.0,0.0,-19.62118678162026
45.0,1.0,-21.24910897679504
45.0,2.0,-22.950694854515092
45.0,3.0,-19.653308897179162
45.0,4.0,-22.540116244879922
45.0,5.0,-32.63296475535507
45.0,6.0,-25.115902330256578
45.0,7.0,-18.8341031899615
45.0,8.0,-23.251229804509045
45.0,9.0,-21.366274765840664
45.0,10.0,-19.89392363701064
45.0,11.0,-21.037710464433705
45.0,12.0,-26.30871663640481
45.0,13.0,-18.948183373141795
45.0,14.0,-17.507788965455347
45.0,15.0,-38.91589028213144
45.0,16.0,-22.222745030568454
45.0,17.0,-15.949624208138983
45.0,18.0,-18.042475506761903
45.0,19.0,-30.247888078620406
45.0,20.0,-21.120448842143787
45.0,21.0,-15.595730075846015
45.0,22.0,-17.030496655319077
45.0,23.0,-28.33256672936196
45.0,24.0,-18.305089354068137
45.0,25.0,-15.777161996388461
45.0,26.0,-16.62642760368868
45.0,27.0,-21.91493017358686
45.0,28.0,-28.546551754978537
45.0,29.0,-21.722109833103733
45.0,30.0,-17.337577269809405
45.0,31.0,-15.042499155274587
45.0,32.0,-15.405434034946685
45.0,33.0,-19.37209908820716
45.0,34.0,-33.40024622132275
45.0,35.0,-18.4129184163447
45.0,36.0,-13.01545500409153
45.0,37.0,-10.308906178485087
45.0,38.0,-9.961724685865029
45.0,39.0,-10.902527523238712
45.0,40.0,-14.21609107436691
45.0,41.0,-22.787176695164554
45.0,42.0,-24.565851588062706
45.0,43.0,-15.056731223856737
45.0,44.0,-12.022847977262733
45.0,45.0,-10.332673138366077
46.0,-45.0,-7.985064675209638
46.0,-44.0,-8.771549967104674
46.0,-43.0,-9.74207176196941
46.0,-42.0,-12.033975141422301
46.0,-41.0,-17.47762274088428
46.0,-40.0,-35.16650319421052
46.0,-39.0,-18.599825397720547
46.0,-38.0,-13.406662902594617
46.0,-37.0,-11.12066425263972
46.0,-36.0,-10.750469376909006
46.0,-35.0,-12.261747435457684
46.0,-34.0,-15.96482493958526
46.0,-33.0,-27.704853991221434
46.0,-32.0,-23.17277550590498
46.0,-31.0,-16.434822630269835
46.0,-30.0,-15.525940309568671
46.0,-29.0,-16.333110532352034
46.0,-28.0,-21.06309098913437
46.0,-27.0,-27.790011026581503
46.0,-26.0,-23.124206615298462
46.0,-25.0,-18.37783026654224
46.0,-24.0,-15.46434790950061
46.0,-23.0,-18.249987878410348
46.0,-22.0,-29.811321593761605
46.0,-21.0,-16.944537412712112
46.0,-20.0,-16.68885702290654
46.0,-19.0,-19.891887198034077
46.0,-18.0,-35.415513942292975
46.0,-17.0,-18.800836868320186
46.0,-16.0,-15.86098786790713
46.0,-15.0,-25.385736832285097
46.0,-14.0,-38.49677081557123
46.0,-13.0,-16.23734095861096
46.0,-12.0,-22.225402026785524
46.0,-11.0,-27.271542219024084
46.0,-10.0,-18.7525175292322
46.0,-9.0,-20.752546433894242
46.0,-8.0,-28.257654084429134
46.0,-7.0,-26.16512701865402
46.0,-6.0,-17.636791970315723
46.0,-5.0,-24.53409825166737
46.0,-4.0,-24.430713278052494
46.0,-3.0,-20.980010334514635
46.0,-2.0,-34.96447901204784
46.0,-1.0,-35.35204589155067
46.0,0.0,-21.437160461275994
46.0,1.0,-35.352045891406235
46.0,2.0,-34.96447901185478
46.0,3.0,-20.98001033449464
46.0,4.0,-24.430713278153767
46.0,5.0,-24.534098251774275
46.0,6.0,-17.636791970340585
46.0,7.0,-26.16512701900671
46.0,8.0,-28.257654084614142
46.0,9.0,-20.752546434045346
46.0,10.0,-18.752517529300043
46.0,11.0,-27.27154221925963
46.0,12.0,-22.22540202667245
46.0,13.0,-16.23734095865541
46.0,14.0,-38.4967708152482
46.0,15.0,-25.385736832303895
46.0,16.0,-15.860987867918897
46.0,17.0,-18.80083686830263
46.0,18.0,-35.41551394175057
46.0,19.0,-19.891887198099422
46.0,20.0,-16.688857022926882
46.0,21.0,-16.944537412716386
46.0,22.0,-29.811321593424974
46.0,23.0,-18.24998787845582
46.0,24.0,-15.464347909549831
46.0,25.0,-18.377830266511722
46.0,26.0,-23.124206615340274
46.0,27.0,-27.790011026600464
46.0,28.0,-21.063090989171094
46.0,29.0,-16.33311053238481
46.0,30.0,-15.525940309552666
46.0,31.0,-16.434822630281072
46.0,32.0,-23.172775506010343
46.0,33.0,-27.70485399131326
46.0,34.0,-15.964824939614658
46.0,35.0,-12.26174743545425
46.0,36.0,-10.750469376904059
46.0,37.0,-11.120664252639054
46.0,38.0,-13.406662902552885
46.0,39.0,-18.599825397740094
46.0,40.0,-35.166503194342425
46.0,41.0,-17.477622740864046
46.0,42.0,-12.033975141415677
46.0,43.0,-9.742071761956417
46.0,44.0,-8.771549967095426
46.0,45.0,-7.985064675246657
47.0,-45.0,-7.4096317289589475
47.0,-44.0,-7.699499649512442
47.0,-43.0,-7.937562104633348
47.0,-42.0,-8.625824894524921
47.0,-41.0,-10.70997097929226
47.0,-40.0,-14.431722417721016
47.0,-39.0,-21.80336554867911
47.0,-38.0,-27.745225415880554
47.0,-37.0,-17.46654498024045
47.0,-36.0,-13.144930990185701
47.0,-35.0,-11.942540230500986
47.0,-34.0,-12.128629114913698
47.0,-33.0,-15.055758781316655
47.0,-32.0,-21.738299422866834
47.0,-31.0,-27.260857484795945
47.0,-30.0,-18.47928981752939
47.0,-29.0,-15.635980957927519
47.0,-28.0,-16.40690182303326
47.0,-27.0,-19.537962470272777
47.0,-26.0,-25.698817243133032
47.0,-25.0,-26.9556712102071
47.0,-24.0,-19.114454744320156
47.0,-23.0,-15.915077403255875
47.0,-22.0,-17.343390606632745
47.0,-21.0,-32.075207642810774
47.0,-20.0,-18.016682016748934
47.0,-19.0,-16.588631860505615
47.0,-18.0,-20.88891982011811
47.0,-17.0,-30.301646245259086
47.0,-16.0,-17.182181426207034
47.0,-15.0,-18.13448822599837
47.0,-14.0,-22.990390563229447
47.0,-13.0,-24.635568883206197
47.0,-12.0,-17.722919871720816
47.0,-11.0,-20.896709545021043
47.0,-10.0,-30.021594431095085
47.0,-9.0,-19.716582519747305
47.0,-8.0,-18.958903989359182
47.0,-7.0,-35.8646018825494
47.0,-6.0,-22.668987641674647
47.0,-5.0,-23.286237448005682
47.0,-4.0,-26.358988149344253
47.0,-3.0,-19.151679366834827
47.0,-2.0,-22.040180660213593
47.0,-1.0,-24.484140329164696
47.0,0.0,-18.254987719196315
47.0,1.0,-24.48414032910472
47.0,2.0,-22.040180660218937
47.0,3.0,-19.15167936685225
47.0,4.0,-26.358988149417844
47.0,5.0,-23.286237447993408
47.0,6.0,-22.668987641709958
47.0,7.0,-35.86460188280091
47.0,8.0,-18.958903989302854
47.0,9.0,-19.71658251972017
47.0,10.0,-30.021594431163336
47.0,11.0,-20.89670954507668
47.0,12.0,-17.722919871798247
47.0,13.0,-24.635568883185094
47.0,14.0,-22.990390563286205
47.0,15.0,-18.1344882260697
47.0,16.0,-17.182181426167308
47.0,17.0,-30.301646245131018
47.0,18.0,-20.888919820096774
47.0,19.0,-16.588631860482604
47.0,20.0,-18.01668201683254
47.0,21.0,-32.07520764229155
47.0,22.0,-17.34339060664966
47.0,23.0,-15.915077403347022
47.0,24.0,-19.11445474432781
47.0,25.0,-26.95567121013182
47.0,26.0,-25.69881724310917
47.0,27.0,-19.5379624702842
47.0,28.0,-16.40690182305629
47.0,29.0,-15.635980957949764
47.0,30.0,-18.479289817501503
47.0,31.0,-27.260857484559846
47.0,32.0,-21.738299422855437
47.0,33.0,-15.05575878128851
47.0,34.0,-12.128629114860406
47.0,35.0,-11.94254023050108
47.0,36.0,-13.144930990238548
